Variables= X  Y  Z 
 zone T="sec 0" i= 101 j= 52 
  11397.243000000   0.000000000   -1280.817000000
  11489.792070000   0.000000000   -1300.720943011
  11582.341140000   0.000000000   -1319.717965579
  11674.890210000   0.000000000   -1337.826767092
  11767.439280000   0.000000000   -1355.066046943
  11859.988350000   0.000000000   -1371.454504522
  11952.537420000   0.000000000   -1387.010839219
  12045.086490000   0.000000000   -1401.753750424
  12137.635560000   0.000000000   -1415.701937530
  12230.184630000   0.000000000   -1428.874099925
  12322.733700000   0.000000000   -1441.288937001
  12415.282770000   0.000000000   -1452.965148148
  12507.831840000   0.000000000   -1463.921432757
  12600.380910000   0.000000000   -1474.176490219
  12692.929980000   0.000000000   -1483.749019924
  12785.479050000   0.000000000   -1492.657721262
  12878.028120000   0.000000000   -1500.921293625
  12970.577190000   0.000000000   -1508.558436403
  13063.126260000   0.000000000   -1515.587848986
  13155.675330000   0.000000000   -1522.028230765
  13248.224400000   0.000000000   -1527.898281131
  13340.773470000   0.000000000   -1533.216699474
  13433.322540000   0.000000000   -1538.002185185
  13525.871610000   0.000000000   -1542.273437655
  13618.420680000   0.000000000   -1546.049156273
  13710.969750000   0.000000000   -1549.348040432
  13803.518820000   0.000000000   -1552.188789521
  13896.067890000   0.000000000   -1554.590102930
  13988.616960000   0.000000000   -1556.570680051
  14081.166030000   0.000000000   -1558.149220274
  14173.715100000   0.000000000   -1559.344422990
  14266.264170000   0.000000000   -1560.174987589
  14358.813240000   0.000000000   -1560.659613462
  14451.362310000   0.000000000   -1560.817000000
  14543.911380000   0.000000000   -1560.817000000
  14636.460450000   0.000000000   -1560.817000000
  14729.009520000   0.000000000   -1560.817000000
  14821.558590000   0.000000000   -1560.817000000
  14914.107660000   0.000000000   -1560.817000000
  15006.656730000   0.000000000   -1560.817000000
  15099.205800000   0.000000000   -1560.817000000
  15191.754870000   0.000000000   -1560.817000000
  15284.303940000   0.000000000   -1560.817000000
  15376.853010000   0.000000000   -1560.817000000
  15469.402080000   0.000000000   -1560.817000000
  15561.951150000   0.000000000   -1560.817000000
  15654.500220000   0.000000000   -1560.817000000
  15747.049290000   0.000000000   -1560.817000000
  15839.598360000   0.000000000   -1560.817000000
  15932.147430000   0.000000000   -1560.817000000
  16024.696500000   0.000000000   -1560.817000000
  16117.245570000   0.000000000   -1560.817000000
  16209.794640000   0.000000000   -1560.817000000
  16302.343710000   0.000000000   -1560.817000000
  16394.892780000   0.000000000   -1560.817000000
  16487.441850000   0.000000000   -1560.817000000
  16579.990920000   0.000000000   -1560.817000000
  16672.539990000   0.000000000   -1560.817000000
  16765.089060000   0.000000000   -1560.817000000
  16857.638130000   0.000000000   -1560.817000000
  16950.187200000   0.000000000   -1560.817000000
  17042.736270000   0.000000000   -1560.817000000
  17135.285340000   0.000000000   -1560.817000000
  17227.834410000   0.000000000   -1560.817000000
  17320.383480000   0.000000000   -1560.817000000
  17412.932550000   0.000000000   -1560.817000000
  17505.481620000   0.000000000   -1560.817000000
  17598.030690000   0.000000000   -1560.817000000
  17690.579760000   0.000000000   -1560.802831698
  17783.128830000   0.000000000   -1560.726830754
  17875.677900000   0.000000000   -1560.550794784
  17968.226970000   0.000000000   -1560.243149113
  18060.776040000   0.000000000   -1559.775772228
  18153.325110000   0.000000000   -1559.122829250
  18245.874180000   0.000000000   -1558.260163238
  18338.423250000   0.000000000   -1557.164925098
  18430.972320000   0.000000000   -1555.815326919
  18523.521390000   0.000000000   -1554.190467040
  18616.070460000   0.000000000   -1552.270200227
  18708.619530000   0.000000000   -1550.035037955
  18801.168600000   0.000000000   -1547.466069691
  18893.717670000   0.000000000   -1544.544899378
  18986.266740000   0.000000000   -1541.253593231
  19078.815810000   0.000000000   -1537.574636163
  19171.364880000   0.000000000   -1533.490894950
  19263.913950000   0.000000000   -1528.985586720
  19356.463020000   0.000000000   -1524.042251733
  19449.012090000   0.000000000   -1518.644729674
  19541.561160000   0.000000000   -1512.777138827
  19634.110230000   0.000000000   -1506.423857671
  19726.659300000   0.000000000   -1499.569508494
  19819.208370000   0.000000000   -1492.198942749
  19911.757440000   0.000000000   -1484.297227874
  20004.306510000   0.000000000   -1475.849635390
  20096.855580000   0.000000000   -1466.841630104
  20189.404650000   0.000000000   -1457.258860270
  20281.953720000   0.000000000   -1447.087148602
  20374.502790000   0.000000000   -1436.312484024
  20467.051860000   0.000000000   -1424.921014088
  20559.600930000   0.000000000   -1412.899037971
  20652.150000000   0.000000000   -1400.233000000
  11397.243000000   13.145607843   -1280.817000000
  11489.792070000   13.147526078   -1300.720943011
  11582.341140000   13.149444314   -1319.717965579
  11674.890210000   13.151362549   -1337.826767092
  11767.439280000   13.153280784   -1355.066046943
  11859.988350000   13.155199020   -1371.454504522
  11952.537420000   13.157117255   -1387.010839219
  12045.086490000   13.159035490   -1401.753750424
  12137.635560000   13.160953725   -1415.701937530
  12230.184630000   13.162871961   -1428.874099925
  12322.733700000   13.164790196   -1441.288937001
  12415.282770000   13.166708431   -1452.965148148
  12507.831840000   13.168626667   -1463.921432757
  12600.380910000   13.170544902   -1474.176490219
