Variables= X  Y  Z 
 zone T="sec 0" i= 101 j= 52 
  11408.557000000   705.969000000   -1245.914000000
  11501.257340000   705.939240000   -1247.244770000
  11593.957680000   705.909480000   -1248.575540000
  11686.658020000   705.879720000   -1249.906310000
  11779.358360000   705.849960000   -1251.237080000
  11872.058700000   705.820200000   -1252.567850000
  11964.759040000   705.790440000   -1253.898620000
  12057.459380000   705.760680000   -1255.229390000
  12150.159720000   705.730920000   -1256.560160000
  12242.860060000   705.701160000   -1257.890930000
  12335.560400000   705.671400000   -1259.221700000
  12428.260740000   705.641640000   -1260.552470000
  12520.961080000   705.611880000   -1261.883240000
  12613.661420000   705.582120000   -1263.214010000
  12706.361760000   705.552360000   -1264.544780000
  12799.062100000   705.522600000   -1265.875550000
  12891.762440000   705.492840000   -1267.206320000
  12984.462780000   705.463080000   -1268.537090000
  13077.163120000   705.433320000   -1269.867860000
  13169.863460000   705.403560000   -1271.198630000
  13262.563800000   705.373800000   -1272.529400000
  13355.264140000   705.344040000   -1273.860170000
  13447.964480000   705.314280000   -1275.190940000
  13540.664820000   705.284520000   -1276.521710000
  13633.365160000   705.254760000   -1277.852480000
  13726.065500000   705.225000000   -1279.183250000
  13818.765840000   705.195240000   -1280.514020000
  13911.466180000   705.165480000   -1281.844790000
  14004.166520000   705.135720000   -1283.175560000
  14096.866860000   705.105960000   -1284.506330000
  14189.567200000   705.076200000   -1285.837100000
  14282.267540000   705.046440000   -1287.167870000
  14374.967880000   705.016680000   -1288.498640000
  14467.668220000   704.986920000   -1289.829410000
  14560.368560000   704.957160000   -1291.160180000
  14653.068900000   704.927400000   -1292.490950000
  14745.769240000   704.897640000   -1293.821720000
  14838.469580000   704.867880000   -1295.152490000
  14931.169920000   704.838120000   -1296.483260000
  15023.870260000   704.808360000   -1297.814030000
  15116.570600000   704.778600000   -1299.144800000
  15209.270940000   704.748840000   -1300.475570000
  15301.971280000   704.719080000   -1301.806340000
  15394.671620000   704.689320000   -1303.137110000
  15487.371960000   704.659560000   -1304.467880000
  15580.072300000   704.629800000   -1305.798650000
  15672.772640000   704.600040000   -1307.129420000
  15765.472980000   704.570280000   -1308.460190000
  15858.173320000   704.540520000   -1309.790960000
  15950.873660000   704.510760000   -1311.121730000
  16043.574000000   704.481000000   -1312.452500000
  16136.274340000   704.451240000   -1313.783270000
  16228.974680000   704.421480000   -1315.114040000
  16321.675020000   704.391720000   -1316.444810000
  16414.375360000   704.361960000   -1317.775580000
  16507.075700000   704.332200000   -1319.106350000
  16599.776040000   704.302440000   -1320.437120000
  16692.476380000   704.272680000   -1321.767890000
  16785.176720000   704.242920000   -1323.098660000
  16877.877060000   704.213160000   -1324.429430000
  16970.577400000   704.183400000   -1325.760200000
  17063.277740000   704.153640000   -1327.090970000
  17155.978080000   704.123880000   -1328.421740000
  17248.678420000   704.094120000   -1329.752510000
  17341.378760000   704.064360000   -1331.083280000
  17434.079100000   704.034600000   -1332.414050000
  17526.779440000   704.004840000   -1333.744820000
  17619.479780000   703.975080000   -1335.075590000
  17712.180120000   703.945320000   -1336.406360000
  17804.880460000   703.915560000   -1337.737130000
  17897.580800000   703.885800000   -1339.067900000
  17990.281140000   703.856040000   -1340.398670000
  18082.981480000   703.826280000   -1341.729440000
  18175.681820000   703.796520000   -1343.060210000
  18268.382160000   703.766760000   -1344.390980000
  18361.082500000   703.737000000   -1345.721750000
  18453.782840000   703.707240000   -1347.052520000
  18546.483180000   703.677480000   -1348.383290000
  18639.183520000   703.647720000   -1349.714060000
  18731.883860000   703.617960000   -1351.044830000
  18824.584200000   703.588200000   -1352.375600000
  18917.284540000   703.558440000   -1353.706370000
  19009.984880000   703.528680000   -1355.037140000
  19102.685220000   703.498920000   -1356.367910000
  19195.385560000   703.469160000   -1357.698680000
  19288.085900000   703.439400000   -1359.029450000
  19380.786240000   703.409640000   -1360.360220000
  19473.486580000   703.379880000   -1361.690990000
  19566.186920000   703.350120000   -1363.021760000
  19658.887260000   703.320360000   -1364.352530000
  19751.587600000   703.290600000   -1365.683300000
  19844.287940000   703.260840000   -1367.014070000
  19936.988280000   703.231080000   -1368.344840000
  20029.688620000   703.201320000   -1369.675610000
  20122.388960000   703.171560000   -1371.006380000
  20215.089300000   703.141800000   -1372.337150000
  20307.789640000   703.112040000   -1373.667920000
  20400.489980000   703.082280000   -1374.998690000
  20493.190320000   703.052520000   -1376.329460000
  20585.890660000   703.022760000   -1377.660230000
  20678.591000000   702.993000000   -1378.991000000
  11408.933091474   705.973494358   -1247.018034900
  11501.032530784   705.942987114   -1258.932991647
  11593.729904706   705.912479869   -1275.397361943
  11686.427278627   705.881972625   -1292.360422936
  11779.124652549   705.851465380   -1305.232161722
  11871.822026471   705.820958135   -1314.386526654
  11964.519400392   705.790450891   -1323.089103138
  12057.216774314   705.759943646   -1331.344520128
  12149.914148235   705.729436401   -1339.158035611
  12242.611522157   705.698929157   -1346.535513501
  12335.308896078   705.668421912   -1353.483400181
  12428.006270000   705.637914667   -1360.008700686
  12520.703643922   705.607407423   -1366.118954561
  12613.401017843   705.576900178   -1371.822211422
  12706.098391765   705.546392933   -1377.127006239
  12798.795765686   705.515885689   -1382.042334359
  12891.493139608   705.485378444   -1386.577626303
  12984.190513529   705.454871200   -1390.742722358
  13076.887887451   705.424363955   -1394.547846982
  13169.585261373   705.393856710   -1398.003583054
  13262.282635294   705.363349466   -1401.120845986
  13354.980009216   705.332842221   -1403.910857729
  13447.677383137   705.302334976   -1406.385120692
  13540.374757059   705.271827732   -1408.555391591
  13633.072130980   705.241320487   -1410.433655272
  13725.769504902   705.210813242   -1412.032098513
  13818.466878824   705.180305998   -1413.363083836
  13911.164252745   705.149798753   -1414.439123354
  14003.861626667   705.119291508   -1415.272852675
  14096.559000588   705.088784264   -1415.877004891
  14189.256374510   705.058277019   -1416.264384663
  14281.953748431   705.027769775   -1416.447842450
  14374.651122353   704.997262530   -1416.440248870
  14467.348496275   704.966755285   -1416.254469257
  14560.045870196   704.936248041   -1415.973301131
  14652.743244118   704.905740796   -1415.671472775
  14745.440618039   704.875233551   -1415.349728533
  14838.137991961   704.844726307   -1415.008815204
  14930.835365882   704.814219062   -1414.649481764
  15023.532739804   704.783711817   -1414.272479077
  15116.230113725   704.753204573   -1413.878559614
  15208.927487647   704.722697328   -1413.468477172
  15301.624861569   704.692190083   -1413.042986587
  15394.322235490   704.661682839   -1412.602843458
  15487.019609412   704.631175594   -1412.148803862
  15579.716983333   704.600668350   -1411.681624074
  15672.414357255   704.570161105   -1411.202060289
  15765.111731176   704.539653860   -1410.710868345
  15857.809105098   704.509146616   -1410.208803440
  15950.506479020   704.478639371   -1409.696619863
  16043.203852941   704.448132126   -1409.175070713
  16135.901226863   704.417624882   -1408.644907631
  16228.598600784   704.387117637   -1408.106880520
  16321.295974706   704.356610392   -1407.561737285
  16413.993348627   704.326103148   -1407.010223554
  16506.690722549   704.295595903   -1406.453082416
  16599.388096471   704.265088658   -1405.891054155
  16692.085470392   704.234581414   -1405.324875986
  16784.782844314   704.204074169   -1404.755281791
  16877.480218235   704.173566925   -1404.183001865
  16970.177592157   704.143059680   -1403.608762652
  17062.874966078   704.112552435   -1403.033286495
  17155.572340000   704.082045191   -1402.457291380
  17248.269713922   704.051537946   -1401.881490687
  17340.967087843   704.021030701   -1401.306592941
  17433.664461765   703.990523457   -1400.733301569
  17526.361835686   703.960016212   -1400.162314652
  17619.059209608   703.929508967   -1399.594324691
  17711.756583529   703.899001723   -1399.026064584
  17804.453957451   703.868494478   -1398.445527949
  17897.151331373   703.837987233   -1397.844527909
  17989.848705294   703.807479989   -1397.217663560
  18082.546079216   703.776972744   -1396.561309898
  18175.243453137   703.746465500   -1395.873225752
  18267.940827059   703.715958255   -1395.152339779
  18360.638200980   703.685451010   -1394.398614608
  18453.335574902   703.654943766   -1393.612952182
  18546.032948824   703.624436521   -1392.797123371
  18638.730322745   703.593929276   -1391.953712956
  18731.427696667   703.563422032   -1391.086074876
  18824.125070588   703.532914787   -1390.198294588
  18916.822444510   703.502407542   -1389.295156497
  19009.519818431   703.471900298   -1388.382115074
  19102.217192353   703.441393053   -1387.465268693
  19194.914566275   703.410885808   -1386.551335482
  19287.611940196   703.380378564   -1385.647630697
  19380.309314118   703.349871319   -1384.762045198
  19473.006688039   703.319364075   -1383.903024762
  19565.704061961   703.288856830   -1383.079549989
  19658.401435882   703.258349585   -1382.301116622
  19751.098809804   703.227842341   -1381.577716138
  19843.796183725   703.197335096   -1380.919816502
  19936.493557647   703.166827851   -1380.338342985
  20029.190931569   703.136320607   -1379.844658976
