Variables= X  Y  Z 
 zone T="sec 0" i= 101 j= 817 
  21312.162000000   1700.000000000   -27.271900000
  21324.728312500   1700.000000000   -27.489000000
  21337.294625000   1700.000000000   -27.519000000
  21349.860937500   1700.000000000   -27.549000000
  21362.427250000   1700.000000000   -27.579000000
  21374.993562500   1700.000000000   -27.609000000
  21387.559875000   1700.000000000   -27.639000000
  21400.126187500   1700.000000000   -27.669000000
  21412.692500000   1700.000000000   -27.699000000
  21425.258812500   1700.000000000   -27.729000000
  21437.825125000   1700.000000000   -27.759000000
  21450.391437500   1700.000000000   -27.789000000
  21462.957750000   1700.000000000   -27.819000000
  21475.524062500   1700.000000000   -27.849000000
  21488.090375000   1700.000000000   -27.879000000
  21500.656687500   1700.000000000   -27.909000000
  21513.223000000   1700.000000000   -27.939000000
  21525.789312500   1700.000000000   -27.969000000
  21538.355625000   1700.000000000   -27.999000000
  21550.921937500   1700.000000000   -28.029000000
  21563.488250000   1700.000000000   -28.059000000
  21576.054562500   1700.000000000   -28.089000000
  21588.620875000   1700.000000000   -28.119000000
  21601.187187500   1700.000000000   -28.149000000
  21613.753500000   1700.000000000   -28.179000000
  21626.319812500   1700.000000000   -28.209000000
  21638.886125000   1700.000000000   -28.239000000
  21651.452437500   1700.000000000   -28.269000000
  21664.018750000   1700.000000000   -28.299000000
  21676.585062500   1700.000000000   -28.329000000
  21689.151375000   1700.000000000   -28.359000000
  21701.717687500   1700.000000000   -28.389000000
  21714.284000000   1700.000000000   -28.419000000
  21726.850312500   1700.000000000   -28.449000000
  21739.416625000   1700.000000000   -28.479000000
  21751.982937500   1700.000000000   -28.509000000
  21764.549250000   1700.000000000   -28.539000000
  21777.115562500   1700.000000000   -28.569000000
  21789.681875000   1700.000000000   -28.599000000
  21802.248187500   1700.000000000   -28.629000000
  21814.814500000   1700.000000000   -28.659000000
  21827.380812500   1700.000000000   -28.689000000
  21839.947125000   1700.000000000   -28.719000000
  21852.513437500   1700.000000000   -28.749000000
  21865.079750000   1700.000000000   -28.779000000
  21877.646062500   1700.000000000   -28.809000000
  21890.212375000   1700.000000000   -28.839000000
  21902.778687500   1700.000000000   -28.869000000
  21915.345000000   1700.000000000   -28.899000000
  21927.911312500   1700.000000000   -28.929000000
  21940.477625000   1700.000000000   -28.959000000
  21953.043937500   1700.000000000   -28.989000000
  21965.610250000   1700.000000000   -29.019000000
  21978.176562500   1700.000000000   -29.049000000
  21990.742875000   1700.000000000   -29.079000000
  22003.309187500   1700.000000000   -29.109000000
  22015.875500000   1700.000000000   -29.139000000
  22028.441812500   1700.000000000   -29.169000000
  22041.008125000   1700.000000000   -29.199000000
  22053.574437500   1700.000000000   -29.229000000
  22066.140750000   1700.000000000   -29.259000000
  22078.707062500   1700.000000000   -29.289000000
  22091.273375000   1700.000000000   -29.319000000
  22103.839687500   1700.000000000   -29.349000000
  22116.406000000   1700.000000000   -29.379000000
  22128.972312500   1700.000000000   -29.409000000
  22141.538625000   1700.000000000   -29.439000000
  22154.104937500   1700.000000000   -29.469000000
  22166.671250000   1700.000000000   -29.499000000
  22179.237562500   1700.000000000   -29.529000000
  22191.803875000   1700.000000000   -29.559000000
  22204.370187500   1700.000000000   -29.589000000
  22216.936500000   1700.000000000   -29.619000000
  22229.502812500   1700.000000000   -29.649000000
  22242.069125000   1700.000000000   -29.679000000
  22254.635437500   1700.000000000   -29.709000000
  22267.201750000   1700.000000000   -29.739000000
  22279.768062500   1700.000000000   -29.769000000
  22292.334375000   1700.000000000   -29.799000000
  22304.900687500   1700.000000000   -29.829000000
  22317.467000000   1700.000000000   -29.859000000
  22330.033312500   1700.000000000   -29.889000000
  22342.599625000   1700.000000000   -29.919000000
  22355.165937500   1700.000000000   -29.949000000
  22367.732250000   1700.000000000   -29.979000000
  22380.298562500   1700.000000000   -30.009000000
  22392.864875000   1700.000000000   -30.039000000
  22405.431187500   1700.000000000   -30.069000000
  22417.997500000   1700.000000000   -30.099000000
  22430.563812500   1700.000000000   -30.129000000
  22443.130125000   1700.000000000   -30.159000000
  22455.696437500   1700.000000000   -30.189000000
  22468.262750000   1700.000000000   -30.219000000
  22480.829062500   1700.000000000   -30.249000000
  22493.395375000   1700.000000000   -30.279000000
  22505.961687500   1700.000000000   -30.309000000
  22518.528000000   1700.000000000   -30.339000000
  22531.094312500   1700.000000000   -30.369000000
  22543.660625000   1700.000000000   -30.399000000
  22556.226937500   1700.000000000   -30.429000000
  22568.793250000   1700.000000000   -30.459000000
  21312.162000000   1697.916666667   -27.181259596
  21324.745502165   1697.914959974   -27.399246506
