Variables= X  Y  Z 
 zone T="sec 0" i= 201 j= 52 
  6400.000000000   705.937000000   0.000000000
  6480.011520635   705.922280000   2.194286525
  6560.023041270   705.907560000   4.032034540
  6640.034561905   705.892840000   5.519636193
  6720.046082540   705.878120000   6.663483628
  6800.057603175   705.863400000   7.469968993
  6880.069123810   705.848680000   7.945484434
  6960.080644445   705.833960000   8.096422096
  7040.092165080   705.819240000   7.929174127
  7120.103685715   705.804520000   7.450132672
  7200.115206350   705.789800000   6.665689878
  7280.126726985   705.775080000   5.582237890
  7360.138247620   705.760360000   4.206168856
  7440.149768255   705.745640000   2.543874921
  7520.161288890   705.730920000   0.601748232
  7600.172809525   705.716200000   -1.613819065
  7680.184330160   705.701480000   -4.096434824
  7760.195850795   705.686760000   -6.839706898
  7840.207371430   705.672040000   -9.837243142
  7920.218892065   705.657320000   -13.082651409
  8000.230412700   705.642600000   -16.569539553
  8080.241933335   705.627880000   -20.291515427
  8160.253453970   705.613160000   -24.242186885
  8240.264974605   705.598440000   -28.415161782
  8320.276495240   705.583720000   -32.804047970
  8400.288015875   705.569000000   -37.402453304
  8480.299536510   705.554280000   -42.203985637
  8560.311057145   705.539560000   -47.202252823
  8640.322577780   705.524840000   -52.390862715
  8720.334098415   705.510120000   -57.763423169
  8800.345619050   705.495400000   -63.313542036
  8880.357139685   705.480680000   -69.034827172
  8960.368660320   705.465960000   -74.920886429
  9040.380180955   705.451240000   -80.965327661
  9120.391701590   705.436520000   -87.161758723
  9200.403222225   705.421800000   -93.503787468
  9280.414742860   705.407080000   -99.985021750
  9360.426263495   705.392360000   -106.599069422
  9440.437784130   705.377640000   -113.339538338
  9520.449304765   705.362920000   -120.200036352
  9600.460825400   705.348200000   -127.174171318
  9680.472346035   705.333480000   -134.255551089
  9760.483866670   705.318760000   -141.437783519
  9840.495387305   705.304040000   -148.714476463
  9920.506907940   705.289320000   -156.079237773
  10000.518428575   705.274600000   -163.525675303
  10080.529949210   705.259880000   -171.047396908
  10160.541469845   705.245160000   -178.638010440
  10240.552990480   705.230440000   -186.291123754
  10320.564511115   705.215720000   -194.000344704
  10400.576031750   705.201000000   -201.759281143
  10480.587552385   705.186280000   -209.561540924
  10560.599073020   705.171560000   -217.400731902
  10640.610593655   705.156840000   -225.270461931
  10720.622114290   705.142120000   -233.164338864
  10800.633634925   705.127400000   -241.075970554
  10880.645155560   705.112680000   -248.998964856
  10960.656676195   705.097960000   -256.927407117
  11040.668196830   705.083240000   -264.857733562
  11120.679717465   705.068520000   -272.787102685
  11200.691238100   705.053800000   -280.712673174
  11280.702758735   705.039080000   -288.631603716
  11360.714279370   705.024360000   -296.541052998
  11440.725800005   705.009640000   -304.438179710
  11520.737320640   704.994920000   -312.320142537
  11600.748841275   704.980200000   -320.184100169
  11680.760361910   704.965480000   -328.027211292
  11760.771882545   704.950760000   -335.846634595
