Variables= X  Y  Z 
 zone T="sec 0" i= 201 j= 52 
  11957.500000000   1700.000000000   21.099000000
  12004.273310000   1700.000000000   23.131475277
  12051.046620000   1700.000000000   25.106388379
  12097.819930000   1700.000000000   27.072529391
  12144.593240000   1700.000000000   29.029600291
  12191.366550000   1700.000000000   30.977314520
  12238.139860000   1700.000000000   32.915396569
  12284.913170000   1700.000000000   34.843581559
  12331.686480000   1700.000000000   36.761614832
  12378.459790000   1700.000000000   38.669251549
  12425.233100000   1700.000000000   40.566256290
  12472.006410000   1700.000000000   42.452402661
  12518.779720000   1700.000000000   44.327472903
  12565.553030000   1700.000000000   46.191257516
  12612.326340000   1700.000000000   48.043554874
  12659.099650000   1700.000000000   49.884170858
  12705.872960000   1700.000000000   51.712918486
  12752.646270000   1700.000000000   53.529617554
  12799.419580000   1700.000000000   55.334094281
  12846.192890000   1700.000000000   57.126180952
  12892.966200000   1700.000000000   58.905715580
  12939.739510000   1700.000000000   60.672541563
  12986.512820000   1700.000000000   62.426507347
  13033.286130000   1700.000000000   64.167466100
  13080.059440000   1700.000000000   65.895275388
  13126.832750000   1700.000000000   67.609796854
  13173.606060000   1700.000000000   69.310895903
  13220.379370000   1700.000000000   70.998441402
  13267.152680000   1700.000000000   72.672305368
  13313.925990000   1700.000000000   74.332362675
  13360.699300000   1700.000000000   75.978490763
  13407.472610000   1700.000000000   77.610569349
  13454.245920000   1700.000000000   79.228480148
  13501.019230000   1700.000000000   80.832106595
  13547.792540000   1700.000000000   82.421333573
  13594.565850000   1700.000000000   83.996047152
  13641.339160000   1700.000000000   85.556134327
  13688.112470000   1700.000000000   87.101482761
  13734.885780000   1700.000000000   88.631980541
  13781.659090000   1700.000000000   90.147515927
  13828.432400000   1700.000000000   91.647977120
  13875.205710000   1700.000000000   93.133252026
  13921.979020000   1700.000000000   94.603228026
  13968.752330000   1700.000000000   96.057791758
  14015.525640000   1700.000000000   97.496828895
  14062.298950000   1700.000000000   98.920223937
  14109.072260000   1700.000000000   100.327860002
  14155.845570000   1700.000000000   101.719618625
  14202.618880000   1700.000000000   103.095379563
  14249.392190000   1700.000000000   104.455020604
  14296.165500000   1700.000000000   105.798417383
  14342.938810000   1700.000000000   107.125443198
  14389.712120000   1700.000000000   108.435968842
  14436.485430000   1700.000000000   109.729862428
  14483.258740000   1700.000000000   111.006989226
  14530.032050000   1700.000000000   112.267211509
  14576.805360000   1700.000000000   113.510388394
  14623.578670000   1700.000000000   114.736375698
  14670.351980000   1700.000000000   115.945025795
  14717.125290000   1700.000000000   117.136187476
  14763.898600000   1700.000000000   118.309705820
  14810.671910000   1700.000000000   119.465422068
  14857.445220000   1700.000000000   120.603173498
  14904.218530000   1700.000000000   121.722793315
  14950.991840000   1700.000000000   122.824110535
  14997.765150000   1700.000000000   123.906949883
  15044.538460000   1700.000000000   124.971131691
  15091.311770000   1700.000000000   126.016471808
  15138.085080000   1700.000000000   127.042781504
  15184.858390000   1700.000000000   128.049867393
  15231.631700000   1700.000000000   129.037531350
  15278.405010000   1700.000000000   130.005570441
  15325.178320000   1700.000000000   130.953776850
  15371.951630000   1700.000000000   131.881937826
  15418.724940000   1700.000000000   132.789835614
  15465.498250000   1700.000000000   133.677247415
  15512.271560000   1700.000000000   134.543945331
  15559.044870000   1700.000000000   135.389696326
  15605.818180000   1700.000000000   136.214262194
  15652.591490000   1700.000000000   137.017399525
  15699.364800000   1700.000000000   137.798859680
  15746.138110000   1700.000000000   138.558388772
  15792.911420000   1700.000000000   139.295727653
  15839.684730000   1700.000000000   140.010611902
  15886.458040000   1700.000000000   140.702771825
  15933.231350000   1700.000000000   141.371932453
  15980.004660000   1700.000000000   142.017813551
  16026.777970000   1700.000000000   142.640129631
  16073.551280000   1700.000000000   143.238589966
  16120.324590000   1700.000000000   143.812898619
  16167.097900000   1700.000000000   144.362754465
  16213.871210000   1700.000000000   144.887851230
  16260.644520000   1700.000000000   145.387877526
  16307.417830000   1700.000000000   145.862516898
  16354.191140000   1700.000000000   146.311447871
  16400.964450000   1700.000000000   146.734344009
  16447.737760000   1700.000000000   147.130873972
  16494.511070000   1700.000000000   147.500701582
  16541.284380000   1700.000000000   147.843485897
  16588.057690000   1700.000000000   148.158881283
  16634.831000000   1700.000000000   148.446537500
  16681.604310000   1700.000000000   148.706099785
  16728.377620000   1700.000000000   148.937208948
  16775.150930000   1700.000000000   149.139501467
  16821.924240000   1700.000000000   149.312609595
  16868.697550000   1700.000000000   149.456161461
  16915.470860000   1700.000000000   149.569781193
  16962.244170000   1700.000000000   149.653089030
  17009.017480000   1700.000000000   149.705701451
  17055.790790000   1700.000000000   149.727231301
  17102.564100000   1700.000000000   149.717287928
  17149.337410000   1700.000000000   149.675477324
  17196.110720000   1700.000000000   149.601402272
  17242.884030000   1700.000000000   149.494662491
  17289.657340000   1700.000000000   149.354854801
  17336.430650000   1700.000000000   149.181573278
  17383.203960000   1700.000000000   148.974409425
  17429.977270000   1700.000000000   148.732952343
  17476.750580000   1700.000000000   148.456788910
  17523.523890000   1700.000000000   148.145503961
  17570.297200000   1700.000000000   147.798680480
  17617.070510000   1700.000000000   147.415899794
  17663.843820000   1700.000000000   146.996741769
  17710.617130000   1700.000000000   146.540785016
  17757.390440000   1700.000000000   146.047607104
  17804.163750000   1700.000000000   145.516784769
  17850.937060000   1700.000000000   144.947894140
  17897.710370000   1700.000000000   144.340510962
  17944.483680000   1700.000000000   143.694210830
  17991.256990000   1700.000000000   143.008569420
  18038.030300000   1700.000000000   142.283162738
  18084.803610000   1700.000000000   141.517567362
  18131.576920000   1700.000000000   140.711360696
  18178.350230000   1700.000000000   139.864121230
  18225.123540000   1700.000000000   138.975428800
  18271.896850000   1700.000000000   138.044864859
  18318.670160000   1700.000000000   137.072012749
  18365.443470000   1700.000000000   136.056457983
  18412.216780000   1700.000000000   134.997788526
  18458.990090000   1700.000000000   133.895595089
  18505.763400000   1700.000000000   132.749471420
  18552.536710000   1700.000000000   131.559014608
  18599.310020000   1700.000000000   130.323825389
  18646.083330000   1700.000000000   129.043508452
  18692.856640000   1700.000000000   127.717672765
  18739.629950000   1700.000000000   126.345931889
  18786.403260000   1700.000000000   124.927904307
  18833.176570000   1700.000000000   123.463213759
  18879.949880000   1700.000000000   121.951489580
  18926.723190000   1700.000000000   120.392367040
  18973.496500000   1700.000000000   118.785487695
  19020.269810000   1700.000000000   117.130499743
  19067.043120000   1700.000000000   115.427058377
  19113.816430000   1700.000000000   113.674826158
  19160.589740000   1700.000000000   111.873473378
  19207.363050000   1700.000000000   110.022678440
  19254.136360000   1700.000000000   108.122128236
  19300.909670000   1700.000000000   106.171518534
  19347.682980000   1700.000000000   104.170554369
  19394.456290000   1700.000000000   102.118950443
  19441.229600000   1700.000000000   100.016431520
  19488.002910000   1700.000000000   97.862732840
  19534.776220000   1700.000000000   95.657600529
  19581.549530000   1700.000000000   93.400792018
  19628.322840000   1700.000000000   91.092076465
  19675.096150000   1700.000000000   88.731235184
  19721.869460000   1700.000000000   86.318062081
  19768.642770000   1700.000000000   83.852364092
  19815.416080000   1700.000000000   81.333961629
  19862.189390000   1700.000000000   78.762689026
  19908.962700000   1700.000000000   76.138395000
  19955.736010000   1700.000000000   73.460943110
  20002.509320000   1700.000000000   70.730212220
  20049.282630000   1700.000000000   67.946096975
  20096.055940000   1700.000000000   65.108508275
  20142.829250000   1700.000000000   62.217373758
  20189.602560000   1700.000000000   59.272638287
  20236.375870000   1700.000000000   56.274264445
  20283.149180000   1700.000000000   53.222233030
  20329.922490000   1700.000000000   50.116543559
  20376.695800000   1700.000000000   46.957214780
  20423.469110000   1700.000000000   43.744285183
  20470.242420000   1700.000000000   40.477813521
  20517.015730000   1700.000000000   37.157879333
  20563.789040000   1700.000000000   33.784583478
  20610.562350000   1700.000000000   30.358048666
  20657.335660000   1700.000000000   26.878420002
  20704.108970000   1700.000000000   23.345865531
  20750.882280000   1700.000000000   19.760576790
  20797.655590000   1700.000000000   16.122769365
  20844.428900000   1700.000000000   12.432683453
  20891.202210000   1700.000000000   8.690584429
  20937.975520000   1700.000000000   4.896763419
  20984.748830000   1700.000000000   1.051537881
  21031.522140000   1700.000000000   -2.844747816
  21078.295450000   1700.000000000   -6.791721799
  21125.068760000   1700.000000000   -10.788984100
  21171.842070000   1700.000000000   -14.836106054
  21218.615380000   1700.000000000   -18.932629695
  21265.388690000   1700.000000000   -23.078067145
  21312.162000000   1700.000000000   -27.271900000
  11957.500000000   1666.666666667   29.721242180
  12004.273310000   1666.666666667   31.746099523
  12051.046620000   1666.666666667   33.714628288
  12097.819930000   1666.666666667   35.674326620
  12144.593240000   1666.666666667   37.624991872
  12191.366550000   1666.666666667   39.566425960
  12238.139860000   1666.666666667   41.498435140
  12284.913170000   1666.666666667   43.420829790
  12331.686480000   1666.666666667   45.333424195
  12378.459790000   1666.666666667   47.236036328
  12425.233100000   1666.666666667   49.128487645
  12472.006410000   1666.666666667   51.010602876
  12518.779720000   1666.666666667   52.882209819
  12565.553030000   1666.666666667   54.743139144
  12612.326340000   1666.666666667   56.593224188
  12659.099650000   1666.666666667   58.432300766
  12705.872960000   1666.666666667   60.260206976
  12752.646270000   1666.666666667   62.076783014
  12799.419580000   1666.666666667   63.881870983
  12846.192890000   1666.666666667   65.675314716
  12892.966200000   1666.666666667   67.456959593
  12939.739510000   1666.666666667   69.226652367
  12986.512820000   1666.666666667   70.984240990
  13033.286130000   1666.666666667   72.729574443
  13080.059440000   1666.666666667   74.462502568
  13126.832750000   1666.666666667   76.182875909
  13173.606060000   1666.666666667   77.890545544
  13220.379370000   1666.666666667   79.585362934
  13267.152680000   1666.666666667   81.267179764
  13313.925990000   1666.666666667   82.935847795
  13360.699300000   1666.666666667   84.591218714
  13407.472610000   1666.666666667   86.233143988
  13454.245920000   1666.666666667   87.861474725
  13501.019230000   1666.666666667   89.476061531
  13547.792540000   1666.666666667   91.076754380
  13594.565850000   1666.666666667   92.663402472
  13641.339160000   1666.666666667   94.235854116
  13688.112470000   1666.666666667   95.793956591
  13734.885780000   1666.666666667   97.337556031
  13781.659090000   1666.666666667   98.866497301
  13828.432400000   1666.666666667   100.380623883
  13875.205710000   1666.666666667   101.879777755
  13921.979020000   1666.666666667   103.363799290
  13968.752330000   1666.666666667   104.832527140
  14015.525640000   1666.666666667   106.285798134
  14062.298950000   1666.666666667   107.723447178
  14109.072260000   1666.666666667   109.145307154
  14155.845570000   1666.666666667   110.551208826
  14202.618880000   1666.666666667   111.940980746
  14249.392190000   1666.666666667   113.314449168
  14296.165500000   1666.666666667   114.671437959
  14342.938810000   1666.666666667   116.011768515
  14389.712120000   1666.666666667   117.335259687
  14436.485430000   1666.666666667   118.641727697
  14483.258740000   1666.666666667   119.930986067
  14530.032050000   1666.666666667   121.202845552
  14576.805360000   1666.666666667   122.457114067
  14623.578670000   1666.666666667   123.693596626
  14670.351980000   1666.666666667   124.912095279
  14717.125290000   1666.666666667   126.112409054
  14763.898600000   1666.666666667   127.294333906
  14810.671910000   1666.666666667   128.457662657
  14857.445220000   1666.666666667   129.602184955
  14904.218530000   1666.666666667   130.727687225
  14950.991840000   1666.666666667   131.833952623
  14997.765150000   1666.666666667   132.920761004
  15044.538460000   1666.666666667   133.987888879
  15091.311770000   1666.666666667   135.035109385
  15138.085080000   1666.666666667   136.062192254
  15184.858390000   1666.666666667   137.068903786
  15231.631700000   1666.666666667   138.055006822
  15278.405010000   1666.666666667   139.020260731
  15325.178320000   1666.666666667   139.964421384
  15371.951630000   1666.666666667   140.887241141
  15418.724940000   1666.666666667   141.788468845
  15465.498250000   1666.666666667   142.667849806
  15512.271560000   1666.666666667   143.525125801
  15559.044870000   1666.666666667   144.360035068
  15605.818180000   1666.666666667   145.172312311
  15652.591490000   1666.666666667   145.961688700
  15699.364800000   1666.666666667   146.727891880
  15746.138110000   1666.666666667   147.470645981
  15792.911420000   1666.666666667   148.189671631
  15839.684730000   1666.666666667   148.884685972
  15886.458040000   1666.666666667   149.555402680
  15933.231350000   1666.666666667   150.201531990
  15980.004660000   1666.666666667   150.822780716
  16026.777970000   1666.666666667   151.418852285
  16073.551280000   1666.666666667   151.989446767
  16120.324590000   1666.666666667   152.534260907
  16167.097900000   1666.666666667   153.052988171
  16213.871210000   1666.666666667   153.545318780
  16260.644520000   1666.666666667   154.010939754
  16307.417830000   1666.666666667   154.449534968
  16354.191140000   1666.666666667   154.860785191
  16400.964450000   1666.666666667   155.244368149
  16447.737760000   1666.666666667   155.599958576
  16494.511070000   1666.666666667   155.927228277
  16541.284380000   1666.666666667   156.225846190
  16588.057690000   1666.666666667   156.495478451
  16634.831000000   1666.666666667   156.735788466
  16681.604310000   1666.666666667   156.946436979
  16728.377620000   1666.666666667   157.127082151
  16775.150930000   1666.666666667   157.277379639
  16821.924240000   1666.666666667   157.396982672
  16868.697550000   1666.666666667   157.485542145
  16915.470860000   1666.666666667   157.542706696
  16962.244170000   1666.666666667   157.568122806
  17009.017480000   1666.666666667   157.561434888
  17055.790790000   1666.666666667   157.522285386
  17102.564100000   1666.666666667   157.450314875
  17149.337410000   1666.666666667   157.345162164
  17196.110720000   1666.666666667   157.206464401
  17242.884030000   1666.666666667   157.033857187
  17289.657340000   1666.666666667   156.826974684
  17336.430650000   1666.666666667   156.585449733
  17383.203960000   1666.666666667   156.308913972
  17429.977270000   1666.666666667   155.996997960
  17476.750580000   1666.666666667   155.649331297
  17523.523890000   1666.666666667   155.265542761
  17570.297200000   1666.666666667   154.845260429
  17617.070510000   1666.666666667   154.388111820
  17663.843820000   1666.666666667   153.893724026
  17710.617130000   1666.666666667   153.361723858
  17757.390440000   1666.666666667   152.791737986
  17804.163750000   1666.666666667   152.183393088
  17850.937060000   1666.666666667   151.536315998
  17897.710370000   1666.666666667   150.850133860
