Variables= X  Y  Z 
 zone T="sec-u 0" i= 201 j= 21 
  24.772000000   4.470000000   -2.500000000
  24.777231663   4.500030504   -2.500000000
  24.782841456   4.516901393   -2.500000000
  24.789711760   4.532311676   -2.500000000
  24.797901585   4.547059782   -2.500000000
  24.807427983   4.561392518   -2.500000000
  24.818296725   4.575411323   -2.500000000
  24.830509204   4.589163708   -2.500000000
  24.844064688   4.602673081   -2.500000000
  24.858961225   4.615950709   -2.500000000
  24.875196054   4.629001206   -2.500000000
  24.892765822   4.641825310   -2.500000000
  24.911666693   4.654421408   -2.500000000
  24.931894418   4.666786403   -2.500000000
  24.953444377   4.678916249   -2.500000000
  24.976311603   4.690806281   -2.500000000
  25.000490798   4.702451429   -2.500000000
  25.025976348   4.713846358   -2.500000000
  25.052762331   4.724985565   -2.500000000
  25.080842520   4.735863436   -2.500000000
  25.110210388   4.746474294   -2.500000000
  25.140859115   4.756812424   -2.500000000
  25.172781588   4.766872094   -2.500000000
  25.205970403   4.776647568   -2.500000000
  25.240417871   4.786133113   -2.500000000
  25.276116014   4.795323010   -2.500000000
  25.313056572   4.804211557   -2.500000000
  25.351231006   4.812793079   -2.500000000
  25.390630494   4.821061930   -2.500000000
  25.431245943   4.829012507   -2.500000000
  25.473067982   4.836639258   -2.500000000
  25.516086972   4.843936697   -2.500000000
  25.560293006   4.850899416   -2.500000000
  25.605675914   4.857522106   -2.500000000
  25.652225265   4.863799579   -2.500000000
  25.699930372   4.869726786   -2.500000000
  25.748780297   4.875298847   -2.500000000
  25.798763855   4.880511077   -2.500000000
  25.849869616   4.885359013   -2.500000000
  25.902085916   4.889838450   -2.500000000
  25.955400854   4.893945468   -2.500000000
  26.009802304   4.897676467   -2.500000000
  26.065277915   4.901028202   -2.500000000
  26.121815120   4.903997810   -2.500000000
  26.179401141   4.906582846   -2.500000000
  26.238022988   4.908781312   -2.500000000
  26.297667473   4.910591686   -2.500000000
  26.358321209   4.912012948   -2.500000000
  26.419970617   4.913044602   -2.500000000
  26.482601929   4.913686699   -2.500000000
  26.546201194   4.913939853   -2.500000000
  26.610754281   4.913805250   -2.500000000
  26.676246883   4.913284661   -2.500000000
  26.742664521   4.912380445   -2.500000000
