Variables= x y z
Zone T="Lower surface" i=1000  j=33
-1.8202428010350171  0.0  0.0
-1.8184207361691165  -0.00027460914482942253  0.0
-1.8165986713032158  -0.0005493351116859815  0.0
-1.8147766064373152  -0.0008241776267474244  0.0
-1.8129545415714146  -0.0010991364002692209  0.0
-1.811132476705514  -0.0013742111434191457  0.0
-1.8093104118396133  -0.001649401568274273  0.0
-1.8074883469737126  -0.0019247073878181592  0.0
-1.805666282107812  -0.0022001283159377434  0.0
-1.8038442172419114  -0.002475664065895636  0.0
-1.8020221523760107  -0.0027513143509015686  0.0
-1.80020008751011  -0.0030270788909853475  0.0
-1.7983780226442094  -0.003302957407051327  0.0
-1.7965559577783088  -0.0035789496208754037  0.0
-1.7947338929124081  -0.003855055255102383  0.0
-1.7929118280465075  -0.004131274021670141  0.0
-1.7910897631806069  -0.004407605660307819  0.0
-1.7892676983147062  -0.00468404990355629  0.0
-1.7874456334488056  -0.004960606474986848  0.0
-1.785623568582905  -0.005237275099918755  0.0
-1.7838015037170043  -0.005514055508367397  0.0
-1.7819794388511037  -0.005790947431677684  0.0
-1.780157373985203  -0.0060679506027393314  0.0
-1.7783353091193024  -0.0063450647561056756  0.0
-1.7765132442534017  -0.006622289627725419  0.0
-1.774691179387501  -0.0068996249548952965  0.0
-1.7728691145216005  -0.007177070476252931  0.0
-1.7710470496556998  -0.007454625931768853  0.0
-1.7692249847897992  -0.007732291062594528  0.0
-1.7674029199238985  -0.008010065606347353  0.0
-1.7655808550579979  -0.008287949307138597  0.0
-1.7637587901920972  -0.008565941910380591  0.0
-1.7619367253261966  -0.008844043162779223  0.0
-1.760114660460296  -0.00912225281232698  0.0
-1.7582925955943953  -0.00940057060829525  0.0
-1.7564705307284947  -0.009678996301227457  0.0
-1.754648465862594  -0.009957529642931845  0.0
-1.7528264009966934  -0.010236170386474135  0.0
-1.7510043361307928  -0.010514918285956623  0.0
-1.7491822712648921  -0.010793773096047881  0.0
-1.7473602063989915  -0.011072734572333863  0.0
-1.7455381415330908  -0.011351802471507723  0.0
-1.7437160766671902  -0.011630976550459013  0.0
-1.7418940118012896  -0.011910256565703652  0.0
-1.740071946935389  -0.012189642277376529  0.0
-1.7382498820694883  -0.012469133446699827  0.0
-1.7364278172035876  -0.012748729835977196  0.0
-1.734605752337687  -0.01302843120858821  0.0
-1.7327836874717863  -0.013308237328982637  0.0
-1.7309616226058857  -0.01358814796267471  0.0
-1.729139557739985  -0.013868162876237499  0.0
-1.7273174928740844  -0.014148281837297166  0.0
-1.7254954280081838  -0.014428504614527717  0.0
-1.7236733631422831  -0.014708830977644896  0.0
-1.7218512982763825  -0.01498926069740111  0.0
-1.7200292334104819  -0.015269793545493847  0.0
-1.7182071685445814  -0.015550429294497308  0.0
-1.7163851036786808  -0.01583116771793444  0.0
-1.7145630388127802  -0.016112008590314326  0.0
-1.7127409739468795  -0.016392951687127098  0.0
-1.7109189090809789  -0.01667399678483888  0.0
-1.7090968442150782  -0.016955143660886723  0.0
-1.7072747793491776  -0.017236392093673218  0.0
-1.705452714483277  -0.017517741862561838  0.0
-1.7036306496173763  -0.017799192747871565  0.0
-1.7018085847514757  -0.018080744530872  0.0
-1.699986519885575  -0.018362396993778302  0.0
-1.6981644550196744  -0.018644149919746215  0.0
-1.6963423901537737  -0.018926003092867075  0.0
-1.694520325287873  -0.019207956298162937  0.0
-1.6926982604219725  -0.019490009321581583  0.0
-1.6908761955560718  -0.019772161949866644  0.0
-1.6890541306901712  -0.020054413965419727  0.0
-1.6872320658242705  -0.020336765163046045  0.0
-1.68541000095837  -0.020619215332003445  0.0
-1.6835879360924693  -0.020901764262449392  0.0
-1.6817658712265686  -0.0211844117454346  0.0
-1.679943806360668  -0.021467157572897275  0.0
-1.6781217414947673  -0.021750001537656664  0.0
-1.6762996766288667  -0.0220329434334075  0.0
-1.674477611762966  -0.022315983054713703  0.0
-1.6726555468970654  -0.022599120197002658  0.0
-1.6708334820311648  -0.022882354656559016  0.0
-1.6690114171652641  -0.023165686230075068  0.0
-1.6671893522993635  -0.023449114715454758  0.0
-1.6653672874334629  -0.023732639911454398  0.0
-1.6635452225675622  -0.024016261617666162  0.0
-1.6617231577016616  -0.024299979634512338  0.0
-1.659901092835761  -0.0245837937632396  0.0
-1.6580790279698603  -0.024867703805913577  0.0
-1.6562569631039596  -0.025151709565394594  0.0
-1.654434898238059  -0.02543581084526096  0.0
-1.6526128333721584  -0.02572000744986136  0.0
-1.6507907685062577  -0.026004299184327537  0.0
-1.648968703640357  -0.026288685854569803  0.0
-1.6471466387744564  -0.026573167267271377  0.0
-1.6453245739085558  -0.026857743229882953  0.0
-1.6435025090426552  -0.02714241355061706  0.0
-1.6416804441767545  -0.027427178038442517  0.0
-1.6398583793108539  -0.027712036503078907  0.0
-1.6380363144449532  -0.027996988754991195  0.0
-1.6362142495790526  -0.028282034605384407  0.0
-1.634392184713152  -0.02856717386619834  0.0
-1.6325701198472513  -0.028852406350101854  0.0
-1.6307480549813507  -0.02913773187048817  0.0
-1.62892599011545  -0.02942315024146932  0.0
-1.6271039252495494  -0.029708661277870987  0.0
-1.6252818603836487  -0.029994264795227536  0.0
-1.623459795517748  -0.030279960609776738  0.0
-1.6216377306518475  -0.0305657485384548  0.0
-1.6198156657859468  -0.030851628398891478  0.0
-1.6179936009200462  -0.031137600009405016  0.0
-1.6161715360541455  -0.03142366318896475  0.0
-1.614349471188245  -0.03170981775508133  0.0
-1.6125274063223443  -0.03199606352807608  0.0
-1.6107053414564436  -0.03228240032894009  0.0
-1.608883276590543  -0.03256882797932964  0.0
-1.6070612117246423  -0.03285534630156122  0.0
-1.6052391468587417  -0.03314195511860712  0.0
-1.603417081992841  -0.03342865425409052  0.0
-1.6015950171269404  -0.03371544353229126  0.0
-1.5997729522610398  -0.03400232277819285  0.0
-1.5979508873951391  -0.03428929181748431  0.0
-1.5961288225292385  -0.034576350476509775  0.0
-1.5943067576633378  -0.0348634985822548  0.0
-1.5924846927974372  -0.03515073596234177  0.0
-1.5906626279315366  -0.03543806244502623  0.0
-1.588840563065636  -0.03572547785832458  0.0
-1.5870184981997353  -0.03601298202979889  0.0
-1.5851964333338346  -0.03630057478956116  0.0
-1.583374368467934  -0.03658825596834076  0.0
-1.5815523036020334  -0.036876025397480576  0.0
-1.5797302387361327  -0.037163882908932605  0.0
-1.577908173870232  -0.0374518283352546  0.0
-1.5760861090043314  -0.0377398615096056  0.0
-1.5742640441384308  -0.03802798226574231  0.0
-1.5724419792725302  -0.038316190438015325  0.0
-1.5706199144066295  -0.038604485861365105  0.0
-1.5687978495407289  -0.0388928683713183  0.0
-1.5669757846748282  -0.039181337801199353  0.0
-1.5651537198089276  -0.03946989398727487  0.0
-1.563331654943027  -0.039758536766798906  0.0
-1.5615095900771263  -0.040047265977597404  0.0
-1.5596875252112257  -0.040336081458064506  0.0
-1.557865460345325  -0.040624983047158815  0.0
-1.5560433954794244  -0.040913970584399786  0.0
-1.5542213306135237  -0.04120304390986433  0.0
-1.552399265747623  -0.041492202864183036  0.0
-1.5505772008817225  -0.041781447288060616  0.0
-1.5487551360158218  -0.04207077702022238  0.0
-1.5469330711499212  -0.04236019190293681  0.0
-1.5451110062840205  -0.04264969177901255  0.0
-1.54328894141812  -0.042939276491801535  0.0
-1.5414668765522193  -0.043228945885231546  0.0
-1.5396448116863186  -0.04351869980380257  0.0
-1.537822746820418  -0.043808538092557754  0.0
-1.5360006819545173  -0.04409846059707142  0.0
-1.5341786170886167  -0.04438846716162423  0.0
-1.532356552222716  -0.04467855763099776  0.0
-1.5305344873568154  -0.044968731852347565  0.0
-1.5287124224909148  -0.04525898967334853  0.0
-1.5268903576250143  -0.04554933094219156  0.0
-1.5250682927591137  -0.045839755507580585  0.0
-1.523246227893213  -0.04613026321872965  0.0
-1.5214241630273124  -0.046420853925359634  0.0
-1.5196020981614118  -0.04671152747527136  0.0
-1.5177800332955111  -0.04700228371779582  0.0
-1.5159579684296105  -0.047293122504168256  0.0
-1.5141359035637099  -0.047584043686119376  0.0
-1.5123138386978092  -0.047875047115872336  0.0
